Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Bacteria Count (CFU/mL),Fecal Coliform,Total Coliform,Temperature,Diarrheal Cases Likelihood (%),Cholera Cases Likelihood (%),Typhoid Cases Likelihood (%)
Spring,11.37,7.55,2.2278086377374087,8.0,0.58,9900.0,99.0,600.0,10.0,12.471299990948692,18.475648643009425,7.596121829570697
Well,13.02,7.8,2.805461294854933,8.4,0.95,3200.0,32.0,110.0,23.0,13.634380927220624,14.994095692349276,17.15623561275853
Pond,14.37,8.0,2.1745032112888487,8.4,0.755,6000.0,60.0,175.0,22.5,8.710758839422002,15.897304838825937,17.995879024438004
Tap,15.19,7.9,3.062849009172836,8.4,0.75,5200.0,52.0,132.0,22.5,12.376059845082471,7.055190248193542,11.204652073005176
River,13.93,7.9,2.4496806550405976,8.15,0.8,8550.0,85.5,225.0,22.5,8.2976767927136,19.009090434315183,18.64313801763261
Lake,13.98,7.9,2.7291531251033616,8.05,1.05,8350.0,83.5,225.0,21.0,11.303992863383185,15.340297757627376,23.34682372892971
Tap,13.16,7.85,2.449146693885301,8.6,0.725,10400.0,104.0,275.0,21.0,14.866152222255035,12.880344501326926,5.578200938233192
Well,13.37,7.95,3.676139092254469,8.6,0.955,16500.0,165.0,340.0,21.0,10.26692773714626,17.368679302145466,21.906135743541576
Well,14.26,8.0,2.993251387631033,8.15,0.735,11650.0,116.5,300.0,22.0,15.750296202288723,7.419822685241861,4.5917760564965935
Well,13.87,7.95,2.3461445355220496,8.4,0.8,13150.0,131.5,320.0,21.0,14.665386632031687,17.149266771125017,13.024423206237538
Well,14.0,7.95,3.2862724560515946,7.85,0.8,10150.0,101.5,245.0,21.5,15.7565027466311,10.153427904846469,25.35925441072653
Pond,13.31,8.0,2.139578175014489,8.35,0.835,10700.0,107.0,270.0,26.5,14.785038896070317,9.026575730107464,14.23724055327498
Well,12.87,8.0,2.729431797502378,8.45,0.815,9000.0,90.0,295.0,26.5,18.36302491085591,7.731458001722799,10.606744559124907
Tap,12.9,7.9,1.645164938060112,8.35,0.885,11700.0,117.0,310.0,26.5,14.834224245515228,19.74455125184981,16.610704280736513
Pond,14.75,7.9,1.8359069755507849,9.25,0.905,1750.0,17.5,144.5,9.25,9.48752636270553,9.238530548606974,24.995945499912605
Spring,14.58,8.1,2.5984306179345618,9.35,0.91,2550.0,25.5,803.5,9.25,11.789506920425175,18.562895696343283,5.249643075885828
Lake,14.23,8.0,2.8692332899977053,9.15,0.755,17600.0,176.0,802.0,9.25,18.161217537280823,14.58541963202307,13.988057062949483
Well,14.08,8.0,2.585684140594985,9.15,0.86,2000.0,20.0,183.5,9.5,11.256191540798632,4.740624020277238,22.08198704828944
Spring,14.03,8.1,2.44217585880588,9.15,0.775,7250.0,72.5,183.5,9.25,12.86173569955401,8.800978409293046,25.53490221642477
River,14.36,7.9,2.349448152205356,9.0,0.88,1750.0,17.5,180.5,9.75,8.44994045395787,17.008086634305872,13.811270267244597
Well,14.08,8.0,1.7607390048162863,9.15,0.855,5600.0,56.0,273.5,9.5,9.848202105883916,12.400578747859557,9.211154705221842
River,13.81,8.1,2.1400778958026456,9.05,0.855,1450.0,14.5,274.0,9.5,5.739027574966244,9.402625411595572,24.962764095627318
Well,13.76,8.05,2.269680614520106,9.0,0.86,2400.0,24.0,804.5,9.75,17.624632485544872,12.685508791795064,22.710022636302757
River,13.52,7.95,3.0285611131094576,9.0,0.875,1350.0,13.5,183.5,9.5,6.3203518466176165,13.797157913993946,17.687939384814868
Pond,11.59,7.9,2.6718091447842305,8.95,0.87,8850.0,88.5,808.5,10.5,10.850975575678277,18.809930207189936,12.492176330516742
Pond,11.58,8.0,1.618479922318633,8.9,0.635,2050.0,20.5,183.5,10.25,8.10113044240334,17.618263904172775,13.807677266251469
Pond,11.49,7.95,2.6620419846973977,8.9,0.635,14100.0,141.0,802.5,10.75,18.07728802733862,13.989774505070235,17.216156032080313
Well,13.64,7.35,2.3074588597918417,8.95,2.135,1500.0,15.0,808.5,10.75,11.794673066427666,8.082370202387304,17.856270038775364
Tap,11.42,7.9,2.1615389998470205,8.9,0.545,2300.0,23.0,476.0,10.0,15.256618519477655,9.772771908633358,21.456116061524742
Pond,11.57,7.85,2.805838144420434,8.9,0.605,4050.0,40.5,803.5,10.25,8.896859081461212,13.257113025233656,19.19266901749461
Well,11.37,7.7,3.0154997612479755,8.75,1.265,5350.0,53.5,195.0,17.5,13.846672882641538,9.54793053328078,10.575285559288249
Well,20.05,7.55,5.215640059558099,8.5,1.945,81650.0,816.5,920.0,21.5,36.53811121824468,35.55847210443787,49.41804388840671
Spring,11.75,7.9,2.080391238388681,9.15,0.665,1550.0,15.5,183.5,10.0,18.480634771709145,12.877943862473709,15.549399476933818
Well,11.48,7.9,2.3453938120743927,9.15,0.57,5850.0,58.5,808.5,10.25,7.562060847008068,12.49792212674153,18.744447470619185
Lake,11.82,6.85,2.665631715701782,9.05,0.65,3550.0,35.5,155.0,17.5,12.40371611394806,12.209340928305451,22.110300366398185
River,11.34,7.7,2.98777256356118,8.6,1.2,5800.0,58.0,270.0,17.5,15.198432165958994,10.456503235931992,10.449596058147865
Pond,18.77,7.6,3.885412881077355,8.75,0.625,400.0,4.0,46.5,21.0,11.711464218988697,10.066036908078544,13.345230701772396
Lake,13.17,7.65,2.4071705116680917,8.3,3.3,14150.0,141.5,350.0,21.0,18.25502291084173,15.642767333710252,19.367164161870654
Well,12.8,7.85,1.946832512996986,9.55,1.95,5850.0,58.5,200.0,19.0,13.575251276072564,18.499062216561637,9.260348930029854
Tap,12.82,8.0,1.9018966879596648,9.6,1.95,6500.0,65.0,204.5,19.0,14.430671448470378,19.31848897884127,19.303882207204
Lake,13.0,7.8,2.906262911197099,9.85,3.45,11600.0,116.0,290.0,19.0,17.769618291354163,11.176569143840071,34.37616153190387
Well,13.12,7.65,3.178120014285412,8.75,1.65,20900.0,209.0,490.0,20.5,22.1947561427812,15.35502462959775,12.380567260297608
Tap,24.22,7.85,4.963994939209833,6.5,0.85,95000.0,950.0,2300.0,25.0,50.52185446967904,36.03311842496401,44.945459943687496
River,16.97,7.95,4.001766448946012,7.55,1.95,45500.0,455.0,1650.0,19.5,25.378268005849936,25.026667922125878,33.70324650171149
Spring,12.6,7.8,2.680818012523817,8.15,1.1,4750.0,47.5,169.0,18.5,7.347018520546637,12.791906770815398,16.2930430537293
River,12.7,8.05,2.177440122697438,9.5,1.5,9500.0,95.0,230.0,20.5,14.261856641087908,9.223743559519006,17.252390301061286
Spring,14.06,7.9,2.680697802754207,8.4,1.7,38900.0,389.0,1095.0,21.5,34.25891936458952,21.34451169152689,21.174817756017035
Well,14.68,7.85,3.5190182832329846,7.7,1.85,26050.0,260.5,815.0,20.5,17.763026745545442,17.03176792277279,25.030733241972403
River,21.73,7.8,4.7320869804450245,7.3,2.2,75500.0,755.0,2345.0,20.0,43.93764539907143,38.80868481605263,36.8262081303191
Spring,25.53,7.55,6.532321827907003,5.85,2.15,123500.0,1235.0,3050.0,20.5,60.182633612533024,53.85717858612716,45.25200548822661
River,18.7,7.55,2.440127447955128,6.95,1.85,44500.0,445.0,1570.0,21.0,24.901561999552708,24.25004761893584,36.06639032345272
Spring,20.31,7.45,4.660951252187612,6.8,2.0,63500.0,635.0,1620.0,21.0,35.65954214895585,34.456046293238245,41.36369855844311
Spring,14.31,7.8,2.543523534119086,8.55,2.44,1100.0,11.0,765.0,15.5,19.186157674114146,11.673852424191734,16.755594054008796
Tap,12.44,7.55,2.3504963247670663,8.85,1.245,1450.0,14.5,2755.0,14.25,10.090615329555758,11.141673272990968,15.966091124938764
River,12.1,7.7,2.545880388267751,9.05,2.01,2100.0,21.0,1763.5,13.0,12.13458661970019,20.641985141650323,21.67791460666522
River,12.23,7.95,1.5062155426995536,8.95,2.65,2100.0,21.0,4610.5,13.75,11.73392746431794,20.204635054542315,18.280341043453767
Tap,12.04,7.9,2.390164056081244,8.65,1.68,5600.0,56.0,4616.0,14.25,9.828362832424984,8.846103657464434,21.4583555421275
Spring,11.99,7.85,2.803556285755873,9.15,0.8,2900.0,29.0,105.0,22.5,8.900965718478245,15.558479434849628,13.067664409927591
Spring,9.42,7.3,3.238947022370758,7.8,0.585,10650.0,106.5,570.0,10.0,9.06480966500692,17.68525224078394,23.556155509261576
River,10.05,7.5,2.2408648908631763,7.8,0.58,6600.0,66.0,507.0,10.5,12.304621363266415,8.150698618105586,17.121963196333734
Tap,9.34,7.55,2.0957531985534064,8.0,0.69,3200.0,32.0,141.5,9.0,8.378851054928875,15.435412442819064,15.513130315074656
Well,9.42,7.4,2.249121478207732,7.9,0.775,5800.0,58.0,210.0,9.5,13.066777730079984,19.42321859838542,8.984143474999644
River,16.96,7.75,3.207701058851037,9.35,2.8,26900.0,269.0,655.0,20.5,16.764921978761123,18.24316192896062,27.033814143596413
Pond,11.47,7.4,2.6643755548298422,8.95,1.845,800.0,8.0,885.0,13.0,13.399997982172463,9.123518136614766,11.210981018432127
Pond,17.95,7.7,3.485119898116481,8.45,1.77,83150.0,831.5,975.0,18.5,42.87955558295573,44.04013440789923,39.29244838403753
Well,11.51,7.75,2.756633716556678,8.9,1.845,2100.0,21.0,4624.5,17.5,5.314795222023073,14.525427836618285,11.725563563591084
Well,14.38,8.0,2.54853877467402,9.45,0.57,3600.0,36.0,141.0,9.25,12.540103162808942,14.284153829021992,9.01026056207025
Spring,12.08,7.95,2.9843224952664444,9.55,0.885,2050.0,20.5,144.5,9.5,15.628916976246392,13.36165033526157,25.352179072007573
River,9.78,7.7,2.148973453061324,8.15,0.49,1100.0,11.0,141.0,8.2,5.752223529506005,12.659157089747737,20.35739871434474
Well,10.92,7.85,2.336168926701116,9.05,1.905,4750.0,47.5,2713.0,15.5,19.73936093690164,8.789538354446472,26.732691413055377
Tap,23.64,7.8,4.553945923433921,7.2,3.715,400.0,4.0,143.5,25.6,16.52182824530969,20.063209026203747,11.946985681343762
River,23.85,7.6,3.8932425259339407,7.3,2.19,400.0,4.0,42.0,25.25,10.042954166046522,18.28740666051213,16.280275954269115
Tap,25.54,7.35,4.898060138532288,6.35,1.225,300.0,3.0,76.5,28.0,10.90758706794418,10.960866134625356,7.788074236738273
Lake,23.06,7.6,4.630527636089945,7.3,4.065,300.0,3.0,87.0,25.85,17.53809677584514,15.988013114468966,15.148985427281666
Well,23.17,7.85,4.50255672832123,7.0,3.625,400.0,4.0,76.5,25.65,15.123459471105477,9.134311049881813,13.373729976552143
Pond,25.03,7.6,4.257706433312427,6.6,1.21,500.0,5.0,63.5,27.0,13.127896617272658,14.112745396028824,20.832202148702333
Spring,23.36,7.7,4.042314628974793,7.3,1.42,300.0,3.0,78.5,25.0,8.027929026593982,14.59837843115964,12.680341570004057
Tap,27.57,7.8,6.03967733861732,7.0,1.37,400.0,4.0,93.5,24.0,12.000888713356511,11.920605760485545,20.17615126648027
Tap,26.63,7.5,6.078642741736616,5.9,1.515,92500.0,925.0,2550.0,22.5,37.43012010861216,47.19418685943834,48.40553967158973
Lake,10.87,7.95,2.0988613653891903,8.65,1.585,1100.0,11.0,1761.0,15.5,11.474559229273522,11.270142484400557,27.01025389752808
Pond,11.01,8.05,2.4193571441669954,8.7,1.58,1100.0,11.0,2719.5,16.0,8.561915632189985,15.025684425839822,7.582408858189458
Well,12.03,7.65,2.702025428407269,8.9,1.17,2350.0,23.5,4606.5,16.5,8.970916478710585,8.192294687409841,21.438120859740067
Lake,11.41,7.6,3.443092950605265,8.15,2.625,5000.0,50.0,254.5,13.0,19.340718865750304,15.40919791386824,23.937327192446308
River,17.05,7.75,2.58728890641592,7.65,1.33,11200.0,112.0,468.5,13.0,18.911697956035383,14.8768089526331,13.154319491278509
Spring,24.61,7.85,5.128775195361382,7.45,3.13,400.0,4.0,92.0,25.2,16.320098234670823,15.750411012734904,22.514650953714792
Spring,10.71,7.9,2.462777042116916,9.15,2.915,1100.0,11.0,1756.5,15.5,9.93276930028317,13.116224694869484,18.924030458194192
River,11.04,8.15,1.5406143923504794,8.95,3.365,450.0,4.5,400.5,14.5,13.25197017826606,14.57285578348198,16.49534868107177
Tap,10.66,7.9,2.486743062275392,9.1,3.13,1100.0,11.0,655.5,14.0,18.717809643873444,18.44270752160876,13.293837236197511
Pond,13.57,7.6,2.530115104970513,9.25,2.21,1100.0,11.0,2704.0,13.0,13.377445953895448,11.786844971638008,12.44800241278039
River,9.74,8.3,3.731621056242643,9.6,0.61,1100.0,11.0,26.0,9.0,18.88200872179245,4.484163844232798,24.232685680394624
Spring,11.84,7.65,2.403819517609439,8.9,1.705,2450.0,24.5,2875.0,13.0,13.96852946756124,20.616537157002583,15.81846054412276
Tap,10.67,7.6,2.650773671166806,9.05,0.665,5100.0,51.0,260.0,13.5,12.513349906036447,18.379738404234487,19.12733183958541
Lake,21.44,7.65,4.732644115147378,7.9,1.87,48900.0,489.0,940.0,19.5,27.32665569133708,23.345397005191256,27.37151997081988
Well,12.7,7.7,1.9156609811902336,8.75,1.075,4500.0,45.0,191.5,18.5,12.734096764178371,15.906688818831974,11.534976540959024
Spring,11.17,7.65,3.0714114072575103,8.2,0.435,3100.0,31.0,210.0,7.5,10.224332622770769,9.496796090168946,19.661318341712665
Lake,11.09,7.65,2.875966516343387,8.05,0.48,2050.0,20.5,127.5,6.5,13.094764222093673,12.428446940600168,6.898786672806486
Tap,11.05,7.7,2.8955159735215235,8.35,0.635,3650.0,36.5,205.0,8.0,14.784414267680216,13.312178657427134,12.458350209710082
River,9.68,8.4,2.0453062726026303,11.0,0.32,200.0,2.0,2.0,7.0,6.739227471839068,9.493145675984412,13.14211659504427
Well,9.0,8.0,3.2013971554680496,11.4,0.32,200.0,2.0,2.0,10.0,4.741783411002071,7.19540646840457,13.540892679906616
Well,8.86,7.3,1.7990744686038596,11.2,0.32,200.0,2.0,2.0,13.5,2.885144010900924,7.580644267952582,12.044668564811126
Spring,9.84,7.95,2.793428546900135,10.3,0.335,200.0,2.0,3.0,16.0,11.509877829677317,6.6648306918996365,15.025153180276888
Well,9.41,7.7,3.595227812904989,10.3,0.325,200.0,2.0,3.0,15.5,5.587594612211558,7.00427432220234,16.536252390312676
Pond,9.8,7.8,2.004731837434656,10.5,0.325,200.0,2.0,3.0,15.5,1.7353454131003432,10.200838234825447,16.746744800929896
Pond,10.17,8.05,2.216851135198614,10.3,0.325,200.0,2.0,3.0,17.0,11.055700353432243,7.487911894310681,7.916098473240389
Lake,9.93,7.95,2.549825682543821,10.3,0.34,200.0,2.0,2.0,18.0,18.795253466786203,13.36150164272378,11.541319061264389
Well,9.97,7.85,2.2482621729419003,10.4,0.325,200.0,2.0,3.0,17.5,9.608167223952211,16.708421472623787,19.1102738261932
Pond,11.49,7.8,1.7246682844669337,9.8,0.375,3950.0,39.5,44.0,18.5,14.047792607898105,9.358563015855244,18.885806893210507
Well,10.24,7.7,2.534281487403013,10.3,0.185,3200.0,32.0,37.0,17.5,10.726152029516868,12.257478649365847,6.708379989926407
Tap,16.01,7.6,2.843848143136948,9.2,0.4,5550.0,55.5,64.0,21.0,11.206077510857918,14.455573206028358,16.680699937696296
Pond,10.88,7.8,2.986796215317591,10.0,0.355,2250.0,22.5,25.5,18.0,13.742238815549635,13.178902884449164,3.547852475912689
Pond,16.02,7.8,3.0402878828830984,9.1,0.35,4800.0,48.0,76.0,21.0,10.175247401927798,12.362648188625544,14.79465304785212
Pond,17.17,7.8,4.52496720250877,9.15,0.985,5000.0,50.0,116.5,20.5,13.276889760156497,16.17889560676506,25.332438291366703
Spring,21.6,7.8,4.358373353831881,8.7,0.91,6250.0,62.5,124.5,21.05,13.79434716607072,15.397710295139014,11.035283524082873
Spring,22.34,7.85,4.338969241897162,8.5,0.915,6300.0,63.0,140.0,22.1,10.19202455906057,8.224777123661392,11.644610372722424
Pond,47.41,7.8,4.656758608684835,8.7,0.95,5900.0,59.0,149.5,22.3,16.277895905303243,17.04208633503596,19.8491931923996
Spring,20.94,7.85,3.8845678417830234,8.55,1.085,5750.0,57.5,124.5,20.85,12.071663355387876,17.188505422862875,8.077509200209967
Lake,18.62,7.3,4.613729967302064,10.25,0.245,54500.0,545.0,975.0,21.0,25.055035005258432,24.94429453465404,27.561988827123773
Lake,19.89,7.45,5.528571377141214,9.95,0.4,77000.0,770.0,1370.0,21.0,37.616016154269225,35.88869714865263,41.53981255926097
River,17.72,7.2,3.821258382719386,9.05,0.0,54500.0,545.0,975.0,24.0,24.147767887487845,30.62674803279497,27.177799375915317
Tap,17.2,7.25,4.592316929266152,8.9,0.0,63500.0,635.0,1025.0,23.5,30.57688176935955,29.83200957110284,32.19391354898099
Tap,18.03,7.2,4.879941397124211,8.85,0.0,55000.0,550.0,1025.0,24.5,27.58150077651185,32.4254222068279,34.42408634808058
Tap,25.62,8.05,6.765911435888655,8.05,0.645,64500.0,645.0,1750.0,28.35,35.821859258935405,41.92870998823776,36.909115313003134
Tap,32.050000000000004,7.85,7.381524644560959,6.75,0.88,185000.0,1850.0,3050.0,23.5,74.54160533050248,68.49011031573775,76.26127719271152
Lake,31.18,7.9,7.089771693457862,5.45,0.82,170000.0,1700.0,2800.0,23.5,67.56203992364887,61.00481663412183,68.10550834031363
Spring,27.32,8.05,7.135970782808449,8.1,0.69,54000.0,540.0,1650.0,25.6,31.379190748267447,29.94912185201006,33.25401803243823
Spring,31.25,7.85,8.023492336616593,8.2,0.77,195000.0,1950.0,2950.0,24.5,81.09535403488545,77.90230594661261,77.3896631162404
Well,27.33,8.1,7.125246425172938,8.2,0.68,68500.0,685.0,2050.0,25.6,35.29312080652705,32.4338091701804,38.47481265554773
Well,27.9,8.1,7.173224104748488,8.1,0.63,80500.0,805.0,2450.0,25.6,37.25123988843728,43.33075369226626,37.45992772513599
River,27.040000000000003,7.9,6.409987639210755,8.1,0.635,69500.0,695.0,1800.0,27.75,28.701830592091497,28.05327977520356,35.44589468545764
Pond,27.97,7.9,7.116126848580501,8.05,0.665,76500.0,765.0,2000.0,25.6,32.01515599210128,38.89377419810515,33.66170479787158
Tap,28.22,8.1,6.27153623664934,8.4,1.07,89000.0,890.0,1550.0,26.75,39.634074731713845,38.14689765709197,43.30092957476347
Spring,23.39,7.85,4.892824290986816,7.65,0.64,91500.0,915.0,2810.0,26.0,38.67617536948028,48.03264820463588,39.47175953936553
Spring,9.12,7.6,3.4328872555723784,10.8,0.33,200.0,2.0,2.0,10.0,8.953902718275286,18.83205488549258,7.266051680559076
Tap,11.19,8.05,2.7369164604558938,10.1,0.46,200.0,2.0,2.0,15.0,10.05214812369179,7.482032544768821,14.514231088994098
Pond,10.58,7.55,1.904348251398676,9.9,0.345,6250.0,62.5,82.0,16.0,13.64143783105466,10.190551820745192,16.096448877123
Spring,23.66,7.7,4.703276804316915,7.35,0.72,4800.0,48.0,134.5,19.5,11.582139250785495,16.225897000121385,19.161966131807937
Lake,29.89,8.0,6.0126591648863394,7.35,0.72,11100.0,111.0,317.0,19.0,15.76966029621092,13.08916466249821,15.03207767924771
Spring,25.24,7.85,5.643542301871226,7.45,0.73,14000.0,140.0,260.0,19.0,15.198441998388926,15.466700270477174,20.29705905774848
River,27.31,8.05,6.454297789503702,7.4,0.46,19800.0,198.0,600.0,20.0,9.263914594081992,17.262277589024496,22.544245007146856
Well,27.950000000000003,8.0,6.0896588408241445,7.6,0.615,54000.0,540.0,1550.0,25.7,24.819254005188824,20.52845350433137,33.522524452546584
Spring,9.4,7.6,2.981688064622161,8.6,0.815,1100.0,11.0,463.5,8.7,10.162841647182075,11.454663681206776,9.777410881688516
River,20.33,8.0,4.331390463468249,8.1,0.775,6600.0,66.0,205.0,21.5,8.084609355668617,10.400265128164705,16.57553685832446
Pond,20.37,8.0,4.536030079997245,7.95,0.745,7800.0,78.0,240.0,21.5,15.078263656717215,11.571081429479468,18.029572887518786
Lake,13.82,8.05,3.4483964913269736,7.75,4.21,500.0,5.0,80.5,7.0,21.36206708143948,22.46336781337685,19.01079213835818
Pond,14.54,7.9,2.3773059419985647,8.45,2.785,650.0,6.5,116.0,12.0,18.065830880081084,9.07307381993953,6.152770998453009
Spring,27.15,7.75,4.123131917821255,7.55,0.72,4150.0,41.5,156.5,21.5,10.848132683080554,15.828090595245945,15.761025242937986
Spring,29.55,8.1,4.930242785187239,7.5,1.57,8150.0,81.5,230.0,21.0,19.76687502271748,13.847717355208394,28.91307913875693
River,11.58,7.65,2.0920948575172806,7.6,1.435,5700.0,57.0,159.5,10.05,13.746882352685532,12.77775727114313,14.628526630913369
Pond,11.6,7.65,2.461449145292948,7.65,1.405,3850.0,38.5,813.5,10.1,11.29783542020892,16.60877813620088,12.0843619290534
Lake,28.09,7.75,4.920575987408322,7.55,0.64,4550.0,45.5,175.0,20.5,9.39835087620892,13.863839132901916,16.870178558805858
Well,11.19,7.65,2.6383453996650097,7.85,1.47,1500.0,15.0,118.5,9.7,10.73317858629617,15.017880376438326,16.74806309003403
Tap,20.81,7.95,4.538591624518012,7.85,0.74,4800.0,48.0,205.0,20.0,10.438781281668849,16.701242002348717,21.28713672859025
River,22.32,7.7,4.631500945938954,7.9,0.735,6050.0,60.5,260.0,20.0,12.905122297168854,11.667828139420418,9.11602910696282
Tap,11.35,7.6,3.226767038578658,8.15,1.455,11100.0,111.0,804.5,8.2,15.642827611343735,13.183465609653153,22.047170898714672
Spring,15.66,7.95,2.617671583381022,8.1,3.405,1350.0,13.5,282.0,7.0,14.806172756933192,10.952632308958863,21.069596947775004
Well,9.87,7.6,3.8600845832948094,8.6,2.095,950.0,9.5,144.5,6.9,14.224589499257435,9.931780287671014,15.179409141079296
Pond,9.59,7.75,2.812833673882503,8.5,0.8,1450.0,14.5,177.5,7.95,15.151455593521176,23.94836532950046,15.847782723383938
Well,9.69,7.7,2.0714212217918586,8.3,0.84,2700.0,27.0,188.0,8.15,14.748014692723917,17.28056556605071,19.865077171722
Tap,9.43,7.7,1.964553750969444,7.95,0.815,11100.0,111.0,465.5,8.0,8.610620180888445,9.12162427919783,21.791607546890265
Well,9.4,7.45,2.7412362076215926,6.7,0.915,1150.0,11.5,86.0,8.5,1.4975284186915132,6.142701495084523,8.315240063161934
Spring,9.78,7.7,2.3882686073370745,8.15,0.49,1100.0,11.0,141.0,8.2,13.61401756032638,13.0415386971144,17.733859658664503
Tap,23.74,7.65,4.982000247046046,7.45,0.72,3600.0,36.0,210.0,19.0,6.425973299372472,14.527682873303055,14.415832656815056
Spring,23.77,7.85,4.986618812286772,7.35,0.715,8100.0,81.0,285.0,19.0,12.121271478978665,15.99738695426987,16.599741312948225
Spring,36.95,7.5,9.713585543671565,7.55,3.82,27350.0,273.5,808.5,15.85,19.991009084166777,23.632430306015905,27.711984126710533
Tap,14.96,7.7,2.0766031409657977,8.85,3.835,550.0,5.5,120.5,12.5,8.578838611664468,15.348920666473878,17.65030017441239
River,17.14,7.6,1.7425763876570677,8.1,4.495,650.0,6.5,123.0,13.5,18.23026523390774,18.27401581102751,25.577625741169943
River,15.14,7.95,3.2767425239664894,7.4,1.11,1750.0,17.5,477.0,18.9,14.168210251863393,12.545087466287688,14.266165848471738
Well,18.630000000000003,7.6,4.428199397161736,7.8,0.975,200.0,2.0,36.0,26.0,8.555165298089786,2.201859096834279,8.246888733531769
Tap,25.0,7.9,4.982046872065102,8.55,4.755,4900.0,49.0,230.0,20.0,8.612864550934034,17.75251081201811,19.270296761886183
Lake,25.0,7.9,4.252130610644006,8.55,4.755,4900.0,49.0,230.0,20.0,16.107833790949993,15.148317041079943,22.205619109593897
River,18.99,7.85,3.586590462925591,7.8,0.85,200.0,2.0,42.0,25.0,11.910766591382584,12.035431843156342,20.11413272731916
Well,19.26,7.85,3.817658689864418,7.35,0.89,200.0,2.0,44.5,25.0,5.115058576280799,23.85884150910087,16.961882536502827
Lake,51.6,7.25,8.433071281899434,6.0,5.455,6550.0,65.5,565.0,24.5,20.51718721053283,21.932914251578023,18.621444835265503
Lake,26.69,7.7,5.326862552972764,7.8,3.79,2600.0,26.0,230.0,25.0,15.798116257953629,15.210191020582773,31.8352271014844
